plate_number,detection_time,location
4565KAA,2024-05-27 10:34:59,Tuwaiq Academy
4565KAA,2024-05-27 10:35:03,Tuwaiq Academy
4565KAA,2024-05-27 10:35:03,Tuwaiq Academy
4565KAA,2024-05-27 10:35:03,Tuwaiq Academy
4565KAA,2024-05-27 10:35:04,Tuwaiq Academy
4565KAA,2024-05-27 10:35:04,Tuwaiq Academy
4565KAA,2024-05-27 10:35:04,Tuwaiq Academy
4565KAA,2024-05-27 10:35:05,Tuwaiq Academy
4565KAA,2024-05-27 10:35:05,Tuwaiq Academy
4565KAA,2024-05-27 10:35:05,Tuwaiq Academy
4565KAA,2024-05-27 10:35:05,Tuwaiq Academy
4565KAA,2024-05-27 10:35:05,Tuwaiq Academy
4565KAA,2024-05-27 10:35:06,Tuwaiq Academy
4565KAA,2024-05-27 10:35:06,Tuwaiq Academy
4565KAA,2024-05-27 10:35:06,Tuwaiq Academy
4565KAA,2024-05-27 10:35:06,Tuwaiq Academy
4565KAA,2024-05-27 10:35:06,Tuwaiq Academy
4565KAA,2024-05-27 10:35:06,Tuwaiq Academy
4565KAA,2024-05-27 10:35:07,Tuwaiq Academy
4565KAA,2024-05-27 10:35:07,Tuwaiq Academy
4565KAA,2024-05-27 10:35:07,Tuwaiq Academy
4565KAA,2024-05-27 10:35:07,Tuwaiq Academy
4565KAA,2024-05-27 10:35:07,Tuwaiq Academy
4565KAA,2024-05-27 10:35:08,Tuwaiq Academy
4565KAA,2024-05-27 10:35:08,Tuwaiq Academy
4565KAA,2024-05-27 10:35:08,Tuwaiq Academy
4565KAA,2024-05-27 10:35:08,Tuwaiq Academy
4565KAA,2024-05-27 10:35:09,Tuwaiq Academy
4565KAA,2024-05-27 10:35:09,Tuwaiq Academy
4565KAA,2024-05-27 10:35:09,Tuwaiq Academy
4565KAA,2024-05-27 10:35:09,Tuwaiq Academy
4565KAA,2024-05-27 10:35:09,Tuwaiq Academy
4565KAA,2024-05-27 10:35:10,Tuwaiq Academy
4565KAA,2024-05-27 10:35:10,Tuwaiq Academy
4565KAA,2024-05-27 10:35:10,Tuwaiq Academy
4565KAA,2024-05-27 10:35:10,Tuwaiq Academy
4565KAA,2024-05-27 10:35:10,Tuwaiq Academy
4565KAA,2024-05-27 10:35:11,Tuwaiq Academy
4565KAA,2024-05-27 10:35:11,Tuwaiq Academy
4565KAA,2024-05-27 10:35:11,Tuwaiq Academy
4565KAA,2024-05-27 10:35:11,Tuwaiq Academy
4565KAA,2024-05-27 10:35:12,Tuwaiq Academy
4565KAA,2024-05-27 10:35:12,Tuwaiq Academy
4565KAA,2024-05-27 10:35:12,Tuwaiq Academy
4565KAA,2024-05-27 10:35:12,Tuwaiq Academy
4565KAA,2024-05-27 10:35:13,Tuwaiq Academy
4565KAA,2024-05-27 10:35:13,Tuwaiq Academy
4565KAA,2024-05-27 10:35:14,Tuwaiq Academy
4565KAA,2024-05-27 10:35:14,Tuwaiq Academy
4565KAA,2024-05-27 10:35:15,Tuwaiq Academy
4565KAA,2024-05-27 10:35:17,Tuwaiq Academy
8485LTR,2024-05-27 13:13:06,Tuwaiq Academy
8485LTR,2024-05-27 13:13:07,Tuwaiq Academy
8485LTR,2024-05-27 13:13:07,Tuwaiq Academy
8485LTR,2024-05-27 13:13:08,Tuwaiq Academy
8485LTR,2024-05-29 09:14:23,Tuwaiq Academy
8485LTR,2024-05-29 09:14:23,Tuwaiq Academy
8485LTR,2024-05-29 09:14:24,Tuwaiq Academy
8485LTR,2024-05-29 09:14:24,Tuwaiq Academy
8485LTR,2024-05-29 17:41:16,Tuwaiq Academy
8485LTR,2024-05-29 17:41:16,Tuwaiq Academy
8485LTR,2024-05-29 17:41:17,Tuwaiq Academy
8485LTR,2024-05-29 17:41:17,Tuwaiq Academy
8485LTR,2024-06-02 05:35:54,Tuwaiq Academy
8485LTR,2024-06-02 05:35:55,Tuwaiq Academy
8485LTR,2024-06-02 05:35:56,Tuwaiq Academy
8485LTR,2024-06-02 05:35:56,Tuwaiq Academy
