License Plate,Location,Time
84K,Live Detection,2024-05-29 21:42:52
784KL,Live Detection,2024-05-29 21:42:53
784KL,Live Detection,2024-05-29 21:42:53
78KL,Live Detection,2024-05-29 21:42:53
784KL,Live Detection,2024-05-29 21:42:53
78KL,Live Detection,2024-05-29 21:42:53
784KL,Live Detection,2024-05-29 21:42:54
784KL,Live Detection,2024-05-29 21:42:54
784KL,Live Detection,2024-05-29 21:42:54
784KL,Live Detection,2024-05-29 21:42:54
784KL,Live Detection,2024-05-29 21:42:54
784KL,Live Detection,2024-05-29 21:42:54
784KL,Live Detection,2024-05-29 21:42:55
784KL,Live Detection,2024-05-29 21:42:55
784KL,Live Detection,2024-05-29 21:42:55
784KL,Live Detection,2024-05-29 21:42:55
84KL,Live Detection,2024-05-29 21:42:56
84KL,Live Detection,2024-05-29 21:42:56
84KL,Live Detection,2024-05-29 21:42:56
784K,Live Detection,2024-05-29 21:42:56
78K,Live Detection,2024-05-29 21:42:56
784KL,Live Detection,2024-05-29 21:42:56
784KL,Live Detection,2024-05-29 21:42:57
78KL,Live Detection,2024-05-29 21:42:57
784KL,Live Detection,2024-05-29 21:42:57
78KL,Live Detection,2024-05-29 21:42:58
784KL,Live Detection,2024-05-29 21:42:58
784KL,Live Detection,2024-05-29 21:42:58
784KL,Live Detection,2024-05-29 21:42:58
784KL,Live Detection,2024-05-29 21:42:58
78K,Live Detection,2024-05-29 21:42:59
784KL,Live Detection,2024-05-29 21:42:59
,Live Detection,2024-05-29 21:42:59
,Live Detection,2024-05-29 21:42:59
4,Live Detection,2024-05-29 21:43:10
45E,Live Detection,2024-05-29 21:43:10
4565KAA,Live Detection,2024-05-29 21:43:10
4565KAA,Live Detection,2024-05-29 21:43:10
4565KAA,Live Detection,2024-05-29 21:43:11
4565KAA,Live Detection,2024-05-29 21:43:11
4565KAA,Live Detection,2024-05-29 21:43:11
4565KAA,Live Detection,2024-05-29 21:43:11
4565KAA,Live Detection,2024-05-29 21:43:12
4565KAA,Live Detection,2024-05-29 21:43:12
4565KAA,Live Detection,2024-05-29 21:43:12
4565KAA,Live Detection,2024-05-29 21:43:12
4565KAA,Live Detection,2024-05-29 21:43:12
4565KAA,Live Detection,2024-05-29 21:43:13
4565KAA,Live Detection,2024-05-29 21:43:13
4565KAA,Live Detection,2024-05-29 21:43:13
4565KAA,Live Detection,2024-05-29 21:43:13
4565KAA,Live Detection,2024-05-29 21:43:14
4565KAA,Live Detection,2024-05-29 21:43:14
4565KAA,Live Detection,2024-05-29 21:43:14
